eventType,eventTime,symbol,newClientOrderId,side,orderType,quantity,price,orderId,orderTime,lastTradeQuantity,totalTradeQuantity,priceLastTrade,commission,commissionAsset,tradeId,isBuyerMaker,creationTime,totalQuoteTradeQuantity,_id
executionReport,1:09:27 PM,DOGEUSD,sQDzUjBOyGvHoumvIymyQM,BUY,LIMIT,273.00000000,0.1826,112139691,1:09:27 PM,273.00000000,273.00000000,0.1826,0.00012045,BNB,13840547,true,1:09:25 PM,49.8498,kyXDs0JCfMGm22mQ
executionReport,7:18:53 AM,DOGEUSD,2FPfQAi6ZUv4KlsAT1aTQm,BUY,LIMIT,283.00000000,0.1763,112436739,7:18:53 AM,283.00000000,283.00000000,0.1763,0.00012414,BNB,13852377,true,7:15:35 AM,49.8929,l0wzwDqFCZJssSJF
executionReport,12:18:46 PM,DOGEUSD,yzFQEpRIfAOHn6aLecdcjf,BUY,LIMIT,270.00000000,0.1849,112119498,12:18:46 PM,270.00000000,270.00000000,0.1849,0.00012051,BNB,13839200,true,12:18:38 PM,49.9230,l5psIabGKsz4S8om
executionReport,3:34:10 PM,DOGEUSD,gtP9bqYD304ImoHadZAGjc,SELL,LIMIT,284.00000000,0.1761,112599073,3:34:10 PM,284.00000000,284.00000000,0.1761,0.00012220,BNB,13859056,true,3:34:06 PM,50.0124,lAfyVhSzcGVX74Gn
executionReport,9:55:09 PM,DOGEUSD,hUrYxjeiXAe7pJuZjVShiw,SELL,LIMIT,293.00000000,0.1705,112718451,9:55:09 PM,293.00000000,293.00000000,0.1705,0.00012489,BNB,13864246,true,9:55:05 PM,49.9565,lFshHK0hrp5MWfuG
executionReport,6:06:41 AM,DOGEUSD,4Q5WrrtIZYlRsYhYt8pefV,SELL,LIMIT,231.00000000,0.2160,110106311,6:06:41 AM,231.00000000,231.00000000,0.2160,0.00011931,BNB,13774908,true,6:06:41 AM,49.8960,lFstFXQ1c4C1rR0J
executionReport,3:33:13 PM,DOGEUSD,Oh3izII4ULTUeCXzliwT6K,BUY,LIMIT,284.00000000,0.1760,112598319,3:33:13 PM,284.00000000,284.00000000,0.1760,0.00012215,BNB,13859040,true,3:31:45 PM,49.9840,lSfi5RqmeMQ2aOcW
executionReport,11:43:13 AM,DOGEUSD,fGqkpanUeykADKu49TZCg9,SELL,LIMIT,250.00000000,0.2000,111732970,11:43:13 AM,250.00000000,250.00000000,0.2000,0.00012069,BNB,13827040,true,11:43:12 AM,50.0000,lTwMwyYdTLBPKWbY
executionReport,1:16:33 PM,DOGEUSD,m0YTORtca8bI01UuB9uU5E,SELL,LIMIT,236.00000000,0.2120,110239687,1:16:33 PM,236.00000000,236.00000000,0.2120,0.00011975,BNB,13778384,true,1:16:31 PM,50.0320,liddToNr5awgm9Jz
executionReport,12:20:50 AM,DOGEUSD,pac69kOBaNgigtskGeKikU,BUY,LIMIT,237.00000000,0.2107,110423546,12:20:50 AM,237.00000000,237.00000000,0.2107,0.00011970,BNB,13783750,true,12:14:04 AM,49.9359,llAhvQLb3cnwwoVI
executionReport,7:15:22 AM,DOGEUSD,m4iWBrBr5ndVZ6LWGtV8Jy,BUY,LIMIT,282.00000000,0.1770,112435849,7:15:22 AM,282.00000000,282.00000000,0.1770,0.00012396,BNB,13852255,true,7:13:59 AM,49.9140,lo67O8UiMPjUh2D9
executionReport,7:38:53 AM,DOGEUSD,UzZiofEUcRzyZh4zT7ZS7G,SELL,LIMIT,285.00000000,0.1752,112448031,7:38:53 AM,285.00000000,285.00000000,0.1752,0.00012366,BNB,13852917,true,7:38:53 AM,49.9320,lpkhx96TpUUbTi3A
executionReport,7:34:41 PM,DOGEUSD,DC355uSlzpYpt0Tyym0m6A,SELL,LIMIT,292.00000000,0.1715,112666979,7:34:41 PM,292.00000000,292.00000000,0.1715,0.00012387,BNB,13862460,true,7:34:41 PM,50.0780,lrkZyZn8CTnOZFXP
executionReport,6:34:07 AM,DOGEUSD,bEGJkVJConr2UOMdqBlDLN,SELL,LIMIT,233.00000000,0.2148,110116385,6:34:07 AM,233.00000000,233.00000000,0.2148,0.00012018,BNB,13775201,true,6:34:05 AM,50.0484,ltEwikOZjdKCxr5C
executionReport,3:02:02 AM,DOGEUSD,K91w8nAJ5DJcOwrL8VQJqz,BUY,LIMIT,262.00000000,0.1905,111964766,3:02:02 AM,262.00000000,262.00000000,0.1905,0.00012408,BNB,13834075,true,3:00:55 AM,49.9110,luOCVXRZdcWP6HQS
executionReport,11:11:48 PM,DOGEUSD,XBag2niAcfa5GwA7OFlVHL,SELL,LIMIT,255.00000000,0.1964,111908834,11:11:48 PM,255.00000000,255.00000000,0.1964,0.00012268,BNB,13832677,true,11:11:39 PM,50.0820,lwW8BoRG8VeJtOLG
executionReport,4:10:17 PM,DOGEUSD,GL30OBGAJ5nuh97yacZ9Rs,BUY,LIMIT,237.00000000,0.2108,110301520,4:10:17 PM,237.00000000,237.00000000,0.2108,0.00011970,BNB,13780329,true,4:09:28 PM,49.9596,lyzofQO7umkvaP7T
executionReport,2:44:09 PM,DOGEUSD,FXcXEhuaYiHLqRkFDFStxY,BUY,LIMIT,281.00000000,0.1779,112586089,2:44:09 PM,281.00000000,281.00000000,0.1779,0.00012138,BNB,13858272,true,2:42:36 PM,49.9899,m4cmg5fhoANeEdHL
executionReport,12:44:43 PM,DOGEUSD,tQLPdDxZnhT7z3vcDzGo6h,BUY,LIMIT,243.00000000,0.2056,110877771,12:44:43 PM,243.00000000,243.00000000,0.2056,0.00011862,BNB,13795853,true,12:44:35 PM,49.9608,m6wWAlKZCILaLnBs
executionReport,6:31:23 AM,DOGEUSD,U68TQze814wjqx06Va0HVn,BUY,LIMIT,263.00000000,0.1900,112011295,6:31:23 AM,263.00000000,263.00000000,0.1900,0.00011976,BNB,13835000,true,6:30:28 AM,49.9700,mERUPMipxMg91NRJ
executionReport,11:21:51 PM,DOGEUSD,U3NGYsrePkQnCLF2UDQTEb,BUY,LIMIT,255.00000000,0.1961,111908864,11:21:51 PM,255.00000000,255.00000000,0.1961,0.00012251,BNB,13832709,true,11:11:48 PM,50.0055,mKpN1M12lholWENB
executionReport,1:16:52 PM,DOGEUSD,7TQN5eLfrumCrQdvEaLKIm,SELL,LIMIT,276.00000000,0.1814,112144740,1:16:52 PM,276.00000000,276.00000000,0.1814,0.00012138,BNB,13840976,true,1:16:52 PM,50.0664,mOqv8RETE5o1j0RY
executionReport,3:02:02 AM,DOGEUSD,JWjWS8zWV9a0YWKNiLbxbv,BUY,LIMIT,262.00000000,0.1906,111964998,3:02:02 AM,262.00000000,262.00000000,0.1906,0.00012408,BNB,13834069,true,3:01:34 AM,49.9372,mW1DyxzJj7pt2Mz3
executionReport,1:08:59 PM,DOGEUSD,nYaJKV6RIsGYYfBp9WVCvZ,BUY,LIMIT,273.00000000,0.1827,112139292,1:08:59 PM,273.00000000,273.00000000,0.1827,0.00012036,BNB,13840519,true,1:08:37 PM,49.8771,mZiEYtaqUuiHy3Hh
executionReport,11:51:12 AM,DOGEUSD,RxuQtrCnAfjokrel70yWHE,SELL,LIMIT,252.00000000,0.1986,111736584,11:51:12 AM,252.00000000,252.00000000,0.1986,0.00012120,BNB,13827194,true,11:51:04 AM,50.0472,maCG36ePDYHcwO5Y
executionReport,6:07:13 AM,DOGEUSD,KHEMcoAOqLqBtGZnZQizk2,BUY,LIMIT,234.00000000,0.2135,110774526,6:07:13 AM,234.00000000,234.00000000,0.2135,0.00011511,BNB,13792227,true,6:01:36 AM,49.9590,mkFtm9AtSFsz0J6I
executionReport,7:30:26 AM,DOGEUSD,pub3utUqveOwytoYSVPBFt,SELL,LIMIT,256.00000000,0.1956,117301787,7:30:26 AM,256.00000000,256.00000000,0.1956,0.00012556,BNB,14075155,true,7:30:21 AM,50.0736,mkHi3fblh9Hf8pNw
